"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Late night workout 🌙","20 Jul 2026, 21:10","20 Jul 2026, 22:00","","Chest Fly (Machine)",,"",2,"normal",50,7,,,
"Late night workout 🌙","20 Jul 2026, 21:10","20 Jul 2026, 22:00","","Seated Incline Curl (Dumbbell)",,"",0,"normal",8,11,,,
"Late night workout 🌙","20 Jul 2026, 21:10","20 Jul 2026, 22:00","","Seated Incline Curl (Dumbbell)",,"",1,"normal",8,9,,,
"Late night workout 🌙","20 Jul 2026, 21:10","20 Jul 2026, 22:00","","Seated Incline Curl (Dumbbell)",,"",2,"normal",8,6,,,
"Evening workout 🏋️","13 Jul 2026, 18:15","13 Jul 2026, 19:10","","Iso-Lateral Row (Machine)",,"",0,"normal",35,11,,,
"Evening workout 🏋️","13 Jul 2026, 18:15","13 Jul 2026, 19:10","","Iso-Lateral Row (Machine)",,"",1,"normal",35,11,,,
"Evening workout 🏋️","13 Jul 2026, 18:15","13 Jul 2026, 19:10","","Iso-Lateral Row (Machine)",,"",2,"normal",35,10,,,
"Evening workout 🏋️","13 Jul 2026, 18:15","13 Jul 2026, 19:10","","Leg Press (Machine)",,"",0,"normal",100,11,,,
"Evening workout 🏋️","13 Jul 2026, 18:15","13 Jul 2026, 19:10","","Leg Press (Machine)",,"",1,"normal",100,10,,,
"Evening workout 🏋️","13 Jul 2026, 18:15","13 Jul 2026, 19:10","","Leg Press (Machine)",,"",2,"normal",100,9,,,
"Evening workout 🏋️","13 Jul 2026, 18:15","13 Jul 2026, 19:10","","Incline Bench Press (Dumbbell)",,"",0,"normal",18,11,,,
"Evening workout 🏋️","13 Jul 2026, 18:15","13 Jul 2026, 19:10","","Incline Bench Press (Dumbbell)",,"",1,"normal",18,8,,,
"Evening workout 🏋️","13 Jul 2026, 18:15","13 Jul 2026, 19:10","","Incline Bench Press (Dumbbell)",,"",2,"normal",18,6,,,
"Evening workout 🏋️","13 Jul 2026, 18:15","13 Jul 2026, 19:10","","Lying Leg Curl (Machine)",,"",0,"normal",41.5,11,,,
"Evening workout 🏋️","13 Jul 2026, 18:15","13 Jul 2026, 19:10","","Lying Leg Curl (Machine)",,"",1,"normal",41.5,10,,,
"Evening workout 🏋️","13 Jul 2026, 18:15","13 Jul 2026, 19:10","","Lying Leg Curl (Machine)",,"",2,"normal",41.5,9,,,
"Evening workout 🏋️","13 Jul 2026, 18:15","13 Jul 2026, 19:10","","Triceps Pressdown",,"",0,"normal",20,13,,,
"Evening workout 🏋️","13 Jul 2026, 18:15","13 Jul 2026, 19:10","","Triceps Pressdown",,"",1,"normal",21,9,,,
"Evening workout 🏋️","13 Jul 2026, 18:15","13 Jul 2026, 19:10","","Triceps Pressdown",,"",2,"normal",17.5,12,,,
"Evening workout 🏋️","13 Jul 2026, 18:15","13 Jul 2026, 19:10","","Bicep Curl (Cable)",,"",0,"normal",17.5,12,,,
"Evening workout 🏋️","13 Jul 2026, 18:15","13 Jul 2026, 19:10","","Bicep Curl (Cable)",,"",1,"normal",17.5,9,,,
"Evening workout 🏋️","13 Jul 2026, 18:15","13 Jul 2026, 19:10","","Bicep Curl (Cable)",,"",2,"normal",17.5,7,,,
"Evening workout 🏋️","13 Jul 2026, 18:15","13 Jul 2026, 19:10","","Dead Bug",,"Leg 90 degrees in 2nd set. Knee over hip not chest",0,"normal",,14,,,
"Evening workout 🏋️","13 Jul 2026, 18:15","13 Jul 2026, 19:10","","Dead Bug",,"Leg 90 degrees in 2nd set. Knee over hip not chest",1,"normal",,7,,,
"Evening workout 🏋️","13 Jul 2026, 18:15","13 Jul 2026, 19:10","","Chest Fly (Machine)",,"",0,"normal",50,11,,,
"Evening workout 🏋️","13 Jul 2026, 18:15","13 Jul 2026, 19:10","","Chest Fly (Machine)",,"",1,"normal",50,9,,,
"Evening workout 🏋️","13 Jul 2026, 18:15","13 Jul 2026, 19:10","","Chest Fly (Machine)",,"",2,"normal",50,9,,,
"Evening workout 🏋️","8 Jul 2026, 18:54","8 Jul 2026, 19:49","","Incline Bench Press (Dumbbell)",,"",0,"normal",18,11,,,
"Evening workout 🏋️","8 Jul 2026, 18:54","8 Jul 2026, 19:49","","Incline Bench Press (Dumbbell)",,"",1,"normal",18,9,,,
